                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90634,                  2.344,                 1.1994,                0.85528,                0.87559,                0.90088,                0.65366,                0.82348,                 6.3795,                 1.0476,             0.00014994,             0.00014994,             0.00014994
                      2,                0.78939,                 1.0163,                 1.0907,                0.84674,                 0.7963,                0.83311,                0.50931,                 1.0948,                 2.5902,                  1.476,             0.00030094,             0.00030094,             0.00030094
                      3,                0.84968,                0.91017,                 1.1261,                0.84975,                0.83788,                 0.8907,                 0.5894,                0.89954,                 1.9863,                 1.2088,             0.00044572,             0.00044572,             0.00044572
                      4,                0.83568,                0.84996,                 1.1116,                0.73761,                0.49074,                0.60001,                0.35735,                 1.1205,                 1.6592,                 1.4591,             0.00058428,             0.00058428,             0.00058428
                      5,                0.82248,                0.84239,                 1.1018,                0.76173,                0.76963,                0.77622,                0.47865,                 1.1183,                 1.2532,                 1.4115,             0.00065745,             0.00065745,             0.00065745
                      6,                0.85476,                0.79592,                 1.1205,                0.77943,                0.73148,                0.79737,                0.45504,                  1.278,                 1.2521,                 1.4984,             0.00064331,             0.00064331,             0.00064331
                      7,                 0.8297,                0.79265,                 1.1126,                0.74286,                0.63889,                0.65429,                0.38175,                 1.4852,                 1.6228,                 1.7103,             0.00062918,             0.00062918,             0.00062918
                      8,                0.82635,                0.77601,                 1.1066,                0.81001,                0.63889,                0.71714,                0.39664,                 1.4023,                 1.3069,                 1.6081,             0.00061504,             0.00061504,             0.00061504
                      9,                 0.8224,                 0.7597,                 1.1146,                0.79431,                0.64365,                0.75048,                0.46492,                 1.1071,                0.94679,                 1.4138,              0.0006009,              0.0006009,              0.0006009
                     10,                0.80355,                0.74279,                  1.111,                0.77729,                0.80791,                0.85196,                0.47945,                 1.3631,                 1.0669,                 1.5741,             0.00058677,             0.00058677,             0.00058677
                     11,                0.77169,                0.68002,                 1.0751,                0.81607,                0.85185,                0.86086,                0.51063,                 1.2812,                 1.1459,                 1.5418,             0.00057263,             0.00057263,             0.00057263
