                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4854,                 2.8674,                 1.4672,                0.25155,                 0.2938,                0.23316,                0.14227,                 1.4303,                 2.3325,                 1.5102,             0.00036446,             0.00036446,             0.00036446
                      2,                 1.3851,                 1.8812,                 1.4084,                 0.3031,                0.33134,                 0.2366,                0.13437,                 1.5388,                 2.6907,                 1.6607,              0.0007166,              0.0007166,              0.0007166
                      3,                 1.4029,                 1.7879,                 1.3982,                0.35588,                0.35807,                0.28436,                0.16356,                 1.5652,                 2.2719,                 1.6864,              0.0010504,              0.0010504,              0.0010504
                      4,                 1.4117,                 1.7682,                 1.3909,                0.49429,                0.23793,                0.26012,                0.15661,                 1.5405,                  2.661,                 1.6801,              0.0010285,              0.0010285,              0.0010285
                      5,                 1.3659,                 1.6384,                 1.3687,                 0.4681,                0.29367,                 0.2827,                0.17136,                 1.4903,                 2.0662,                 1.6133,               0.001001,               0.001001,               0.001001
                      6,                 1.3575,                   1.57,                 1.3436,                0.32642,                0.33036,                0.31038,                0.17878,                 1.5302,                 1.9269,                 1.6004,             0.00097351,             0.00097351,             0.00097351
                      7,                  1.322,                 1.5847,                 1.3504,                 0.4305,                0.39672,                0.34054,                0.19844,                 1.4161,                 1.8356,                 1.5055,             0.00094602,             0.00094602,             0.00094602
                      8,                 1.2866,                 1.4692,                  1.316,                0.34239,                0.38223,                0.34988,                 0.2079,                 1.4628,                 1.8536,                 1.5584,             0.00091852,             0.00091852,             0.00091852
                      9,                 1.2634,                 1.3977,                 1.3041,                 0.4892,                0.35582,                0.35618,                0.20214,                 1.3806,                 1.9348,                 1.4723,             0.00089102,             0.00089102,             0.00089102
                     10,                 1.2289,                 1.4029,                 1.2803,                0.40129,                0.45687,                0.38833,                0.23859,                 1.3587,                 1.7721,                 1.4788,             0.00086352,             0.00086352,             0.00086352
                     11,                 1.2297,                 1.3253,                 1.2705,                0.71198,                0.31643,                 0.3784,                0.23182,                 1.3519,                 1.8965,                 1.4564,             0.00083603,             0.00083603,             0.00083603
                     12,                 1.2035,                 1.3222,                 1.2539,                0.41506,                0.47746,                0.40443,                0.25598,                 1.3463,                 1.7108,                 1.4585,             0.00080853,             0.00080853,             0.00080853
                     13,                 1.1721,                 1.2843,                 1.2344,                0.43127,                0.49854,                  0.432,                0.26702,                 1.3296,                 1.7099,                 1.4289,             0.00078103,             0.00078103,             0.00078103
                     14,                 1.1682,                 1.2825,                 1.2343,                 0.4219,                0.48654,                0.40672,                0.24613,                 1.3587,                 1.6318,                 1.4606,             0.00075354,             0.00075354,             0.00075354
